descripcion_tipo_presupuesto,finalidad,funcion,monto
3-PROGRAMAS DE INVERSIÓN,30-RECURSOS INSTITUCIONALES,344-CULTURA,175000000
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,343-EDUCACION SUPERIOR Y UNIVERSITARIA,1200796511602
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,343-EDUCACION SUPERIOR Y UNIVERSITARIA,141724045270
1-PROGRAMAS DE ADMINISTRACION,10-RECURSOS DEL TESORO,343-EDUCACION SUPERIOR Y UNIVERSITARIA,103322274943
1-PROGRAMAS DE ADMINISTRACION,30-RECURSOS INSTITUCIONALES,343-EDUCACION SUPERIOR Y UNIVERSITARIA,27442333392
3-PROGRAMAS DE INVERSIÓN,30-RECURSOS INSTITUCIONALES,343-EDUCACION SUPERIOR Y UNIVERSITARIA,0
3-PROGRAMAS DE INVERSIÓN,10-RECURSOS DEL TESORO,343-EDUCACION SUPERIOR Y UNIVERSITARIA,0
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,342-EDUCACION MEDIA Y TECNICA,968118570401
3-PROGRAMAS DE INVERSIÓN,30-RECURSOS INSTITUCIONALES,342-EDUCACION MEDIA Y TECNICA,6683201118
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,342-EDUCACION MEDIA Y TECNICA,2351376457
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,341-EDUCACION ELEMENTAL,2716966135180
3-PROGRAMAS DE INVERSIÓN,30-RECURSOS INSTITUCIONALES,341-EDUCACION ELEMENTAL,16518967026
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,341-EDUCACION ELEMENTAL,12940965308
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,334-SERVICIOS DE JUBILACIONES Y PENSIONES,4027973502127
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,334-SERVICIOS DE JUBILACIONES Y PENSIONES,1747906711201
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,"333-VEJEZ, INCAPACIDAD Y SUPERVIVENCIA",327331794253
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,"333-VEJEZ, INCAPACIDAD Y SUPERVIVENCIA",172070186
1-PROGRAMAS DE ADMINISTRACION,30-RECURSOS INSTITUCIONALES,331-ADMINISTRACION DE LOS SERVICIOS DE SEGURIDAD SOCIAL,680163760650
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,331-ADMINISTRACION DE LOS SERVICIOS DE SEGURIDAD SOCIAL,78415538158
1-PROGRAMAS DE ADMINISTRACION,30-RECURSOS INSTITUCIONALES,"329-PROMOCION,ASISTENCIA Y ACCION SOCIAL SIN DISCRIMINAR",304991235561
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,"329-PROMOCION,ASISTENCIA Y ACCION SOCIAL SIN DISCRIMINAR",62858187387
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,"329-PROMOCION,ASISTENCIA Y ACCION SOCIAL SIN DISCRIMINAR",7383955964
3-PROGRAMAS DE INVERSIÓN,30-RECURSOS INSTITUCIONALES,"329-PROMOCION,ASISTENCIA Y ACCION SOCIAL SIN DISCRIMINAR",5577751819
3-PROGRAMAS DE INVERSIÓN,10-RECURSOS DEL TESORO,"329-PROMOCION,ASISTENCIA Y ACCION SOCIAL SIN DISCRIMINAR",881317864
2-PROGRAMAS DE ACCIÓN,20-RECURSOS DEL CREDITO PUBLICO,326-SERVICIOS SOCIALES PARA LA REFORMA AGRARIA Y COLONIZACION,132757842679
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,326-SERVICIOS SOCIALES PARA LA REFORMA AGRARIA Y COLONIZACION,113300205428
1-PROGRAMAS DE ADMINISTRACION,10-RECURSOS DEL TESORO,326-SERVICIOS SOCIALES PARA LA REFORMA AGRARIA Y COLONIZACION,39614415370
1-PROGRAMAS DE ADMINISTRACION,30-RECURSOS INSTITUCIONALES,326-SERVICIOS SOCIALES PARA LA REFORMA AGRARIA Y COLONIZACION,22632949795
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,326-SERVICIOS SOCIALES PARA LA REFORMA AGRARIA Y COLONIZACION,13243103220
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,325-SERVICIOS SOCIALES DE LOS GOB. DEPARTAMENTALES,1700544287011
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,325-SERVICIOS SOCIALES DE LOS GOB. DEPARTAMENTALES,966904161116
1-PROGRAMAS DE ADMINISTRACION,10-RECURSOS DEL TESORO,325-SERVICIOS SOCIALES DE LOS GOB. DEPARTAMENTALES,117059339415
2-PROGRAMAS DE ACCIÓN,20-RECURSOS DEL CREDITO PUBLICO,325-SERVICIOS SOCIALES DE LOS GOB. DEPARTAMENTALES,50000000000
1-PROGRAMAS DE ADMINISTRACION,30-RECURSOS INSTITUCIONALES,325-SERVICIOS SOCIALES DE LOS GOB. DEPARTAMENTALES,13480545136
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,323-SERVICIOS DE ACCIÓN SOCIAL,888652422919
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,323-SERVICIOS DE ACCIÓN SOCIAL,324631878852
2-PROGRAMAS DE ACCIÓN,20-RECURSOS DEL CREDITO PUBLICO,323-SERVICIOS DE ACCIÓN SOCIAL,122102217004
1-PROGRAMAS DE ADMINISTRACION,10-RECURSOS DEL TESORO,323-SERVICIOS DE ACCIÓN SOCIAL,12040818360
